frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2262816.632165,299726.000000,418.787536
4,2314998.534911,302291.000000,281121.020546
8,1679183.779051,277902.000000,145.811522
16,1319556.143881,230954.000000,231.106036
32,1989464.690868,293705.000000,2099.751414
64,2478617.475262,281334.000000,150934.092706
128,2327079.691836,287473.000000,173917.226292
256,1775581.552763,301796.000000,259390.109044
512,2395889.904012,296922.000000,276771.449205
1024,2728050.320684,299606.000000,429451.266626
2048,3690949.588051,301334.000000,1361581.008480
4096,1422310.004555,188456.000000,464728.024443
8192,2895744.767419,300193.000000,918983.704734
16384,2470762.917500,177243.000000,2111100.819538
32768,1624311.666544,247883.000000,749930.115498
65536,837568.831035,108501.000000,0.000000
