frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1418690.430355,265665.000000,224646.119670
4,1419948.993748,286780.000000,181.991758
8,2384113.933521,295622.000000,72.201108
16,1726185.300325,280322.000000,684.116218
32,1746064.773276,251893.000000,233.171611
64,2391353.513097,294970.000000,3116.433859
128,2425058.761697,298447.000000,10410.170508
256,2881554.199873,295113.000000,94845.659985
512,2032297.563825,290952.000000,282250.393079
1024,2209208.556213,291701.000000,60886.132633
2048,3044756.889454,293212.000000,497434.192680
4096,3501264.209524,255397.000000,578541.008859
8192,3601740.907846,297566.000000,1034308.187500
16384,2341259.484654,297793.000000,904726.694533
32768,2630531.639736,301962.000000,860871.375885
65536,1591681.269518,212122.000000,484943.406943
