frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,50628431.09474028,599533
4,43703085.97433922,526024
8,47299797.57633578,591663
16,47459741.1752408,543651
32,43057949.895020284,508533
64,43403169.28738648,541498
128,41866335.44926965,586016
256,48726295.3232178,580560
512,44326545.857989386,535558
1024,44948308.460570246,546615
2048,46600860.47053494,572674
4096,55624091.43154855,677125
8192,44506852.00151331,552731
16384,51102337.449784815,600275
32768,67617283.66814367,787887
65536,53491904.76330248,707304
