frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,44469568.669264145,543480
4,49111305.93723692,586668
8,37747204.6415409,470875
16,59439714.7242311,712075
32,48637226.36252509,578664
64,51586569.94152928,673126
128,49586765.06181851,634998
256,52099485.20523556,615324
512,43188467.800133176,565350
1024,47077444.92586507,636714
2048,56860475.32707642,635758
4096,50330953.82553406,619332
8192,45342179.269382,503105
16384,50772045.319870345,727839
32768,43489752.26330698,511571
65536,40577475.20814312,539120
