frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,42730858.000813976,526388
4,41894276.40356902,499674
8,40760891.085826315,501926
16,42202261.68496636,509642
32,45641810.58301649,560186
64,50209097.49882671,611966
128,51411836.88546754,638740
256,45238601.440183006,541094
512,42284047.54380262,500319
1024,47786257.89150661,609405
2048,45354361.27245585,569414
4096,40525420.48873577,489487
8192,49948211.02498835,631783
16384,45645390.14611985,539024
32768,58568179.489971094,737036
65536,17299593.50179229,228548
