frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,49177647.47266913,599493
4,42383940.12906201,528657
8,53796217.93621312,666631
16,45863135.30405276,558481
32,57270890.24190789,646854
64,50028507.5705087,619559
128,50282843.54610175,633126
256,56840778.70732495,739045
512,44080317.58746409,579422
1024,50283652.92058599,593092
2048,47413900.54699737,574087
4096,42667365.06003973,504144
8192,43366954.27933477,511992
16384,49561016.55054904,654297
32768,45731081.588022515,683331
65536,16631999.141780673,279979
