frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,51448675.10747681,625823
4,54257382.146579094,619447
8,47070375.16161844,587293
16,47029491.52423714,556691
32,38949439.84070152,479342
64,39823769.051196106,521123
128,49071383.37703963,589569
256,58529407.30437555,721665
512,55389890.49317715,707567
1024,44449955.59269019,543570
2048,39614085.18323981,483105
4096,53057394.60907194,673839
8192,43370598.16329844,526957
16384,40231819.28128206,502028
32768,26735009.9996363,361978
65536,81192761.77768442,949088
