frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,50613680.791202046,595310
4,49875381.402063586,607668
8,47442841.94006635,563993
16,44710969.48271227,528782
32,43907512.3812197,573638
64,55205764.003888816,625114
128,54786906.06989836,651442
256,47000045.44353873,595510
512,49477950.697029665,651638
1024,46186099.32387177,557294
2048,50054907.63278236,604991
4096,49980264.000062026,677328
8192,61127253.603655346,672982
16384,41805704.572190955,450353
32768,61269554.21178207,710304
65536,64200134.94468185,653217
