frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,47537157.523865916,566818
4,38967211.65895755,486486
8,41353802.656157024,500347
16,45568494.01113055,546185
32,41242228.00138553,501609
64,47806501.49684641,568976
128,46148865.88448043,551823
256,43399048.47628411,548515
512,50245496.64148912,605557
1024,61076090.82627864,702519
2048,48233419.14846508,596408
4096,44363336.82470427,513074
8192,51025093.36977038,630142
16384,44499058.90601485,569958
32768,61948066.28006269,753586
65536,64481187.39633111,795839
