frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,41663408.70148687,547674
4,43729653.04020386,554445
8,45230210.57713078,548399
16,44349068.057745844,569332
32,48647490.14692381,579415
64,38344623.24488063,486294
128,42144310.67269456,550153
256,44765271.230362885,541401
512,40704661.58871253,499214
1024,45458172.70024357,607052
2048,74331362.82107943,868073
4096,43724480.57296068,500105
8192,73927143.38340557,889582
16384,42901113.01859473,488262
32768,53137356.26839561,723495
65536,24951992.89416138,351081
