frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,51685609.84445148,605475
4,71006964.43322411,723124
8,48030098.58529615,606604
16,48859283.92014702,666648
32,47917042.281861015,558859
64,44103269.05677519,525970
128,51922828.15948244,662849
256,48183153.85888598,589406
512,52298663.39187966,626562
1024,44970384.004639946,549540
2048,65111242.37464392,700757
4096,55424820.16721037,642229
8192,49854995.59607965,586869
16384,46442844.00597625,600466
32768,50779879.88016111,614729
65536,41558213.99930144,506518
