frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1625518.543353,286697.000000,86.145226
4,950130.797293,256610.000000,641.756963
8,2114016.194215,298009.000000,521.684771
16,1596825.843365,303184.000000,129.255561
32,1744901.032296,276096.000000,133.581436
64,1902893.294007,302334.000000,4718.981882
128,2484704.113792,297198.000000,4956.403232
256,2265381.772639,293012.000000,68539.205095
512,3041579.325625,300314.000000,283448.620365
1024,3887644.936457,297426.000000,347728.383598
2048,2786188.651772,292537.000000,819199.446813
4096,3437117.261519,297252.000000,777200.298361
8192,2972574.604821,279008.000000,818976.658837
16384,1909196.126215,268487.000000,903331.725663
32768,1245084.989287,139244.000000,851928.447736
65536,109493.686471,30722.000000,0.000000
