frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2253013.131544,298896.000000,86.301796
4,1277913.777817,294953.000000,247.172005
8,1807176.853635,277003.000000,35605.523996
16,1577487.463380,230136.000000,259.951919
32,2378271.080301,302150.000000,5245.112582
64,2736684.655068,297839.000000,12932.784194
128,3319534.503008,303326.000000,1744.184050
256,2366573.568971,307309.000000,3724.348936
512,3082560.909741,298071.000000,657141.693568
1024,3085577.773861,292146.000000,190740.318918
2048,2744966.875020,249319.000000,635476.112675
4096,1822167.475494,210853.000000,347289.887827
8192,2273891.492893,286342.000000,242423.155451
16384,2570271.268627,273793.000000,430086.157634
32768,4755541.053086,272342.000000,4076888.192357
65536,5010855.179316,287535.000000,4540504.041494
