frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1194526.464963,286587.000000,2779.789021
4,728187.610473,186704.000000,311.489968
8,1371422.338061,236320.000000,258.721858
16,2125363.920548,286081.000000,236.321814
32,2704778.415018,290915.000000,459.111098
64,2571683.516682,284652.000000,228458.793624
128,2322658.334047,302407.000000,1709.585622
256,3245135.583860,296783.000000,190760.428873
512,3116782.910546,298773.000000,305019.366979
1024,3339306.723595,297941.000000,286064.023663
2048,2718102.268582,269292.000000,706259.962084
4096,3508090.928825,295438.000000,1793830.900999
8192,4284134.641718,292471.000000,550811.686512
16384,2122117.496795,280475.000000,444737.103460
32768,3001448.811502,273135.000000,1860767.463345
65536,3150647.229806,305593.000000,2612393.136103
