frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,388395.759443,98342.000000,21720.863450
4,1637164.644405,284227.000000,49.000000
8,1014740.961654,195667.000000,108.429701
16,1405413.159563,276799.000000,577.882341
32,2479929.825305,295446.000000,3966.732282
64,3192191.645226,298180.000000,3693.598787
128,2997856.350819,283903.000000,261934.133950
256,3140234.765835,292824.000000,178887.466386
512,2590885.099051,271434.000000,81057.476336
1024,2965078.369203,267609.000000,492324.417549
2048,3236856.841293,303038.000000,415370.395063
4096,2455362.105123,300371.000000,120784.175520
8192,2949294.544905,282106.000000,569952.233439
16384,1680569.827201,174729.000000,348100.889986
32768,5159483.030583,302294.000000,4761402.092497
65536,1652459.054930,149615.000000,0.000000
