frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1978256.839444,297459.000000,80.901174
4,1968891.414910,283451.000000,119.125984
8,1917864.383874,301885.000000,642.588515
16,1698671.098259,239459.000000,241.960741
32,2598163.693610,304941.000000,196.613835
64,2370358.834204,288394.000000,274406.326223
128,2139414.154164,298030.000000,180655.038540
256,3279124.588720,296028.000000,198817.137149
512,1929006.971415,249805.000000,33848.201547
1024,3350479.044328,300151.000000,625095.835769
2048,2882122.593691,291243.000000,419971.075627
4096,2770606.299463,275891.000000,1217577.254111
8192,1739262.047750,282786.000000,687509.625160
16384,1018542.321760,138564.000000,517485.384466
32768,2536208.607253,236429.000000,1182490.793672
65536,2574849.302781,197846.000000,2406371.299622
