frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1280334.863346,294957.000000,229.318556
4,1278704.995366,276277.000000,1684.691960
8,1002530.348141,297498.000000,464.214390
16,3343423.343113,299847.000000,170459.586430
32,2255436.570886,300194.000000,1833.051827
64,2811291.981441,291934.000000,492.542384
128,3395108.263250,299085.000000,1941.906795
256,2482482.530429,283488.000000,125448.940446
512,2046726.335854,270445.000000,111157.835095
1024,2607521.308803,281320.000000,333480.609990
2048,2585485.185492,292879.000000,201293.657160
4096,3688336.090243,301573.000000,667358.611508
8192,3034865.189778,298327.000000,376341.845951
16384,5381739.144278,288115.000000,2803750.663009
32768,1012524.146892,89730.000000,557072.653151
65536,2392206.573746,205372.000000,2067500.139678
