frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,453959.747015,17034.000000,1801.552109
4,793815.422248,27616.000000,2935.626679
8,850718.520901,33281.000000,21170.303257
16,1220126.680011,45622.000000,48540.074042
32,1570283.500936,59647.000000,94905.009488
64,2285608.843061,75738.000000,26226.464268
128,1506089.258428,56190.000000,37636.893947
256,1913655.421067,68255.000000,25929.048363
512,2624481.139854,99080.000000,96229.217164
1024,2184879.344144,66689.000000,392086.139149
2048,1817586.982369,59024.000000,205615.842427
4096,1312811.746080,48576.000000,76254.317202
8192,1206279.025107,44827.000000,298560.843888
16384,2154341.522426,78434.000000,1286249.915205
32768,2613623.406443,95483.000000,2461540.760325
65536,5011109.745020,146435.000000,4914982.310730
