frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,831964.088645,31805.000000,10947.805122
4,746845.842883,22372.000000,23485.424139
8,1063955.133328,28858.000000,21938.316344
16,1691183.091887,57363.000000,42779.955201
32,1844790.823234,66553.000000,59733.674255
64,1904951.207552,57755.000000,87308.305985
128,1362843.088843,55683.000000,3952.547533
256,2607043.024070,84412.000000,176776.868724
512,2394091.304479,73878.000000,193497.677803
1024,2228483.647487,80003.000000,488905.298244
2048,2523111.544059,78567.000000,620119.370508
4096,1161001.482443,39242.000000,137063.842001
8192,2092197.277957,55985.000000,786389.479165
16384,832760.281169,31189.000000,136258.539861
32768,3119343.223656,79754.000000,1594281.168356
65536,1277853.687164,39899.000000,710174.229818
