frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,663445.419691,27533.000000,30681.553465
4,1302638.733161,50686.000000,28578.379258
8,409978.528106,15675.000000,11830.210734
16,1301859.288222,49095.000000,26148.439781
32,1663009.317269,53535.000000,73508.234491
64,2090503.483095,75069.000000,167602.477762
128,1802791.717473,60737.000000,78633.220283
256,1175342.663432,40441.000000,15778.659797
512,1609934.294851,63699.000000,218365.656581
1024,1320714.036691,54491.000000,294638.123631
2048,2143257.929232,78701.000000,443828.365251
4096,2150597.236203,70797.000000,618771.001318
8192,2322063.561388,70111.000000,473441.072421
16384,3591939.755348,117062.000000,1048057.818738
32768,349522.685437,22332.000000,0.000000
65536,4563179.489592,105565.000000,2270664.988567
