frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,324765.034848,14888.000000,19485.065435
4,767751.619302,23525.000000,15266.840963
8,1131609.585318,33708.000000,28139.544559
16,667209.776122,22192.000000,21990.477917
32,754973.376984,27992.000000,4145.905932
64,1403769.922832,45609.000000,6830.987557
128,1460984.681054,47141.000000,77288.206351
256,817831.430069,30372.000000,78659.683256
512,2639503.636671,81933.000000,86822.012543
1024,1623586.448506,57828.000000,361211.595355
2048,3227999.333208,100695.000000,397117.277005
4096,3760348.284955,108511.000000,135545.143023
8192,4563529.407897,127171.000000,1274936.138739
16384,5471514.917440,142937.000000,2455068.186540
32768,1995578.331252,71025.000000,1977397.121380
65536,7929920.896672,174936.000000,7486528.960590
