frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,655752.712634,32581.000000,21856.469271
4,1216014.963219,43541.000000,43745.349524
8,494226.081996,18832.000000,14936.666529
16,610293.762569,24749.000000,5047.817053
32,1428447.668003,68721.000000,21617.096359
64,1409923.893766,58713.000000,11165.305191
128,1889712.601629,78722.000000,24261.526395
256,2118529.426281,77437.000000,70342.388167
512,2368986.781466,83135.000000,93555.836536
1024,1864879.090901,68796.000000,105561.712268
2048,1590740.405634,51599.000000,281936.927970
4096,1625321.274085,61710.000000,421729.588503
8192,541934.350985,21682.000000,169879.961073
16384,1930763.642662,66453.000000,986115.392203
32768,3530493.434314,102644.000000,1941208.217556
65536,6558780.351502,178396.000000,6052563.582016
