frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,1539295.584678,54867.000000,6948.504659
4,705873.743781,28820.000000,13370.872036
8,1219745.226333,55671.000000,11209.053439
16,1246529.678167,38687.000000,48786.808678
32,708640.053485,26728.000000,38286.992204
64,1535400.726245,58392.000000,3647.983827
128,1575244.523252,54738.000000,82819.500584
256,1295104.913957,54381.000000,134948.965194
512,2244719.828463,78535.000000,269248.047133
1024,1667220.634436,56025.000000,149504.384240
2048,2768209.021986,107375.000000,714048.202970
4096,3879778.025240,126977.000000,355311.371161
8192,3225297.826807,104310.000000,1131679.514493
16384,4539767.428512,133488.000000,2141624.800155
32768,2503058.561478,100600.000000,1704337.839227
65536,792830.577171,42952.000000,0.000000
