frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,794647.740501,27889.000000,6225.185459
4,1145732.617462,38415.000000,6568.001066
8,819990.320428,33091.000000,24971.125425
16,1549361.807881,60143.000000,45601.414550
32,1477892.932532,51679.000000,78480.214781
64,1788941.072571,64718.000000,32646.369400
128,2296985.851917,85761.000000,147749.553685
256,2131345.568818,73968.000000,89191.337040
512,1640049.011155,69932.000000,10918.383214
1024,1530075.088510,67458.000000,51085.274326
2048,1685471.579043,61944.000000,336509.705495
4096,1777248.771834,67489.000000,522390.643848
8192,2010765.578668,71862.000000,361226.618899
16384,1082114.981572,50885.000000,289532.983176
32768,3663295.774263,106907.000000,956937.143024
65536,3921548.387540,122657.000000,359054.173436
