frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,951767.936310,28855.000000,50.428167
4,1142404.947712,49578.000000,44629.281845
8,918459.680897,32386.000000,7606.169798
16,480098.817499,20254.000000,10279.551401
32,1479164.508052,56037.000000,30618.460624
64,2032194.672906,72490.000000,93760.054645
128,1872214.813181,71273.000000,128567.124013
256,2002061.045497,69403.000000,212635.070388
512,2207493.982751,81673.000000,327902.116879
1024,1535375.945446,51995.000000,212687.416939
2048,2725252.879268,93776.000000,486216.907791
4096,3372771.899722,133481.000000,1133184.664040
8192,1055738.394933,45831.000000,130512.282732
16384,1669657.610390,70116.000000,517455.524813
32768,3912979.798655,138761.000000,2049247.376379
65536,2883035.852530,95373.000000,2623236.726074
