frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,106815.216388,41125.000000,311.993590
4,211117.536157,97070.000000,10993.203628
8,578893.898671,138448.000000,144.782596
16,421979.897904,168687.000000,208.549754
32,363463.635038,194345.000000,632.913106
64,196722.940495,77654.000000,1799.523270
128,60804.162029,19703.000000,1675.747893
256,572662.747330,198166.000000,45493.897591
512,379620.135055,239343.000000,17046.742269
1024,273481.350342,61106.000000,14459.509017
2048,340927.090607,182482.000000,10247.714282
4096,268062.416553,80865.000000,15940.856470
8192,455695.720081,102971.000000,75077.035117
16384,162633.981563,76891.000000,81010.886873
32768,1531089.596212,133598.000000,1447496.220780
65536,539918.248261,216653.000000,189340.901411
