frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,179536.119895,90586.000000,163.810867
4,1378853.117295,280306.000000,322.021738
8,149777.015593,39989.000000,1080.902863
16,350206.573162,98442.000000,1868.558535
32,284559.455958,113398.000000,770.290205
64,127300.499005,44769.000000,758.754901
128,460772.800226,238046.000000,11316.618576
256,382694.205979,212441.000000,2140.548761
512,594019.165186,278997.000000,30907.768894
1024,864262.770743,127594.000000,75501.232765
2048,416609.075580,163750.000000,14338.242640
4096,412241.218803,290183.000000,44471.992445
8192,103947.583882,25835.000000,21998.101236
16384,530033.134526,135816.000000,47698.670306
32768,765823.177816,231058.000000,630306.457154
65536,1115026.319811,136892.000000,1015250.631225
