frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,912304.494443,133330.000000,16480.212104
4,538460.797627,122767.000000,24.083189
8,220681.489749,119475.000000,604.296285
16,240336.781473,60262.000000,223.013453
32,198984.996638,90831.000000,136.689429
64,599087.621566,130323.000000,53788.790728
128,486339.154079,308659.000000,20371.311813
256,464574.165416,175836.000000,4575.400529
512,389889.913618,227960.000000,5139.260063
1024,212421.372173,80628.000000,35956.950969
2048,1131833.485431,265318.000000,211433.312598
4096,250378.777996,127939.000000,38705.792280
8192,195188.190867,38218.000000,42776.236008
16384,1120419.055394,193462.000000,514805.269143
32768,557689.388636,209359.000000,387777.503112
65536,463445.728769,107797.000000,445432.306416
