frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,192604.583107,46244.000000,121.688126
4,93906.165394,31744.000000,759.236459
8,240357.175986,76484.000000,88.780629
16,877007.984731,87100.000000,65.299311
32,1844314.522457,277458.000000,238946.088501
64,284567.680092,159399.000000,1205.864006
128,69469.165606,14881.000000,5089.408414
256,393601.728102,217501.000000,1877.042354
512,221059.893843,21303.000000,3400.514226
1024,447552.437286,133056.000000,110797.096948
2048,358763.358746,139929.000000,23847.024636
4096,226448.422790,84947.000000,53981.201598
8192,483785.630356,196710.000000,111397.004444
16384,1118743.969923,198273.000000,416157.688026
32768,2168296.624466,158426.000000,623267.019092
65536,2526049.367313,228752.000000,2525463.698771
