frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2756511.740104,273196.000000,217.922004
4,1767131.020656,183722.000000,6150.973419
8,3365881.341971,289804.000000,83484.018441
16,3178655.467983,302802.000000,31304.417276
32,3643093.324115,303920.000000,31006.065536
64,4015661.124842,304326.000000,195862.138529
128,4232087.699124,304774.000000,234511.296154
256,4531347.562827,304056.000000,295063.092150
512,5856567.905258,303171.000000,859957.863416
1024,4936239.023666,288294.000000,798618.041445
2048,5535741.624205,305112.000000,446514.168483
4096,5331747.424525,289934.000000,1419465.221873
8192,3460532.650078,241339.000000,1238220.009305
16384,6635864.843113,279665.000000,3109080.866109
32768,5016462.949931,276429.000000,3641785.565192
65536,12070396.979099,306823.000000,10931124.167555
