frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2895095.785274,273751.000000,0.000000
4,3451792.313039,298156.000000,0.000000
8,3095463.010479,293275.000000,0.000000
16,3691033.104030,305102.000000,0.000000
32,4041905.489759,286281.000000,0.000000
64,3966665.162136,299921.000000,0.000000
128,3806505.113385,294995.000000,0.000000
256,4270454.840164,304754.000000,0.000000
512,4237606.657087,305208.000000,0.000000
1024,3800224.426817,301098.000000,0.000000
2048,4677979.299433,303923.000000,0.000000
4096,5524371.874905,307112.000000,0.000000
8192,4475760.301572,288101.000000,0.000000
16384,4226231.034090,257109.000000,0.000000
32768,5821848.205475,277235.000000,0.000000
65536,6232577.165360,255160.000000,0.000000
