frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,4659653.781729,301152.000000,89282.283455
4,3014948.083196,299524.000000,24084.911937
8,3248191.858018,294879.000000,144826.880958
16,3894816.582735,305399.000000,58433.558740
32,3534513.392136,301194.000000,98635.128793
64,3259014.757089,302372.000000,37793.165374
128,4082102.128975,306028.000000,190474.427294
256,4126943.176448,305907.000000,129529.910391
512,3633291.093075,304406.000000,204414.240805
1024,4174266.419841,298235.000000,585450.192885
2048,2847847.707480,261842.000000,436021.408476
4096,4477542.057048,302383.000000,865976.195746
8192,6132537.842857,245421.000000,1900647.521412
16384,3770212.734907,214346.000000,2277382.702755
32768,4323756.111788,227863.000000,3213146.991287
65536,3457872.764852,266160.000000,2517793.417193
