frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2548707.629894,72838.000000,62796.754502
4,2442471.655454,166440.000000,51481.570751
8,3231948.040216,147676.000000,178568.929526
16,6283032.837802,151834.000000,175743.158268
32,3381973.954493,90909.000000,160018.454345
64,5312056.820790,303784.000000,97567.200734
128,6987710.191893,304011.000000,204352.227429
256,6630581.930021,162225.000000,823220.565946
512,5081307.365318,131224.000000,873896.203390
1024,4623818.481512,112118.000000,448572.604391
2048,8950633.952770,191395.000000,1679151.149797
4096,6132809.174474,169993.000000,1289050.496519
8192,9832697.826134,233500.000000,3474685.784180
16384,4500910.864115,117116.000000,3057542.382946
32768,4272538.728216,109783.000000,1905989.495423
65536,2038186.029845,77203.000000,0.000000
