frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2869469.660930,297808.000000,171170.548956
4,2316406.728914,258006.000000,3591.702800
8,3907011.481739,301528.000000,53703.389344
16,4793953.453724,291017.000000,221320.770571
32,3584835.177618,299684.000000,122468.745050
64,4300360.440114,305736.000000,5715.648870
128,4736060.539218,304315.000000,331878.990281
256,5744527.715727,308519.000000,634550.594418
512,4438587.508549,296617.000000,446294.094311
1024,3934303.209758,305980.000000,645148.135008
2048,4236680.191820,283028.000000,869451.678308
4096,4391118.474269,298068.000000,853759.594333
8192,6568242.081323,306728.000000,1878102.253031
16384,5942748.389613,304017.000000,1732893.999591
32768,6236394.875341,303624.000000,1595739.392962
65536,3357003.326495,250678.000000,0.000000
