frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2068057.949094,305145.000000,0.000000
4,2872969.758192,305271.000000,0.000000
8,2730055.939476,300198.000000,0.000000
16,3032500.929720,298393.000000,0.000000
32,3387427.034377,289266.000000,0.000000
64,3230789.007968,299909.000000,0.000000
128,3956040.447371,306222.000000,0.000000
256,4274384.278610,301942.000000,0.000000
512,4601652.607066,306032.000000,0.000000
1024,4170315.186258,302136.000000,0.000000
2048,5965085.888156,295661.000000,0.000000
4096,1240756.274125,131004.000000,0.000000
8192,5944097.494550,304181.000000,0.000000
16384,7755838.753598,303339.000000,0.000000
32768,2508759.270906,176493.000000,0.000000
65536,2318844.162159,166961.000000,0.000000
