frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2637295.544775,264683.000000,0.000000
4,3813977.423913,258963.000000,0.000000
8,1907314.159179,258977.000000,0.000000
16,1148327.481715,272195.000000,0.000000
32,1934526.974872,293422.000000,0.000000
64,4857987.376610,293402.000000,0.000000
128,4907699.172802,285867.000000,0.000000
256,6521673.676983,305924.000000,0.000000
512,4473777.940816,241914.000000,0.000000
1024,3754509.394843,277034.000000,0.000000
2048,6156967.803920,280754.000000,0.000000
4096,6717864.799209,264303.000000,0.000000
8192,3526335.828874,214942.000000,0.000000
16384,6087289.869015,271055.000000,0.000000
32768,4832924.241352,149096.000000,0.000000
65536,7959654.816928,240727.000000,0.000000
