batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
66,329.7090,41856.2430,329.7090,1228.9036,1222.0937,369.0759,2000581.3987,386.0907
67,672.8804,27140.6258,672.8804,3255.0140,1302.7989,705.3659,2031332.3204,713.3765
68,267.5948,11590.8649,308.9078,6816.2865,578.4713,303.3628,2063416.3011,318.9248
69,722.7593,1502.2706,722.7593,1359.2855,819.0897,795.5910,2097243.0804,847.6780
70,4339.0762,6406.5188,4339.0762,3228.2178,4625.7352,6228.0798,2131199.2593,6281.1385
71,1174.2393,4244.1424,1174.2393,2474.6602,3039.4835,1995.4270,2161071.5052,1574.5285
72,392.0791,580.3378,392.0791,572.2762,422.2180,409.9793,2190154.5980,433.7718
73,2018.8138,4772.0417,2018.8138,4614.4614,2086.3741,2039.0942,2220990.0088,2046.6722
74,4466.2728,7856.4774,4466.2728,7014.2760,6128.4909,8297.3581,2252809.7975,8733.4955
75,7228.4702,20760.9548,7228.4702,5319.0558,7892.0698,7492.7012,2281325.5276,7531.2966
76,1874.1337,15757.5924,1874.1337,10073.1050,3889.2592,2669.0244,2312835.5446,2328.1445
77,337.2329,5889.3839,337.2329,2515.2042,832.3010,379.8908,2342817.7359,366.3154
78,276.4670,307.1124,276.4670,275.1091,348.5025,372.8981,2376219.0697,388.9344
79,1107.6651,2164.5198,1107.6651,1958.8851,1233.9161,1250.5079,2402041.7302,1261.6834
80,1050.5137,1192.3624,1050.5137,735.2347,1160.1664,1357.5960,2430131.8466,1366.6382
81,498.3844,1672.6892,498.3844,1316.3863,772.0123,597.1298,2458742.3150,586.9327
82,355.9213,391.0486,355.9213,361.9033,414.9542,436.7711,2490819.0275,463.7834
83,1767.5794,5421.1741,1767.5794,3590.8509,1949.3368,1983.5065,2518005.2934,2009.5602
84,11082.4264,29818.1909,11082.4264,26702.2731,11648.2028,12037.7733,2549551.5366,11281.3192
85,585.4144,28575.8893,585.4144,10389.6816,1662.5947,739.5039,2579669.5832,716.4510
86,1447.9931,15496.2968,1447.9931,2660.7435,3389.0199,2334.6062,2611898.8781,2339.6344
87,1203.5747,10212.6723,1203.5747,3308.1796,2228.2545,1007.4309,2639836.8906,918.4438
88,535.3532,885.3988,535.3532,743.1770,587.1039,628.8020,2669212.7372,655.9306
89,405.2888,438.4644,405.2888,375.9574,507.4160,532.7072,2697914.4899,576.1536
90,504.5225,688.2819,504.5225,623.6866,694.7122,654.2117,2729894.4489,643.3747
91,565.8931,968.1338,565.8931,961.5722,599.7900,595.3335,2760322.1244,602.6226
92,775.2290,1318.6542,775.2290,1161.1654,939.4121,955.1372,2791035.0601,958.6350
93,1296.0613,3139.7658,1296.0613,2876.5940,1353.3521,1341.8312,2819553.7496,1341.4570
94,9026.7940,23985.6743,9026.7940,23609.3623,11110.5906,14623.9924,2849999.1590,19021.7658
95,1072.8252,24607.7569,1072.8252,12750.0220,2894.2198,1392.0769,2881759.2611,1378.5902
96,11902.8444,14321.6558,11902.8444,5491.6587,11975.3471,11919.1170,2913144.3435,11930.4232
97,1246.1766,38175.3031,1246.1766,27682.3547,2916.9415,1381.3866,2941919.9831,1427.9286
98,678.3178,29419.5974,678.3178,19040.5355,1739.1521,775.5688,2970152.9344,888.8554
99,1520.7985,18577.6311,1520.7985,5476.5087,3823.3008,2056.1544,2999070.3629,2066.0634
100,503.9911,12964.4316,503.9911,1791.0586,1543.1102,424.6658,3027514.9646,421.8068
