frequency,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
4,180278.072724,87556.000000,180278.072724,87556.000000,180278.072724,87556.000000,180278.072724,87556.000000,180278.072724,87556.000000,180278.072724,87556.000000
512,138188.097465,38613.000000,138188.097465,38613.000000,138188.097465,38613.000000,138188.097465,38613.000000,138188.097465,38613.000000,138188.097465,38613.000000
64,138119.904228,88082.000000,138119.904228,88082.000000,138119.904228,88082.000000,138119.904228,88082.000000,138119.904228,88082.000000,138119.904228,88082.000000
4096,173951.676911,83628.000000,173951.676911,83628.000000,173951.676911,83628.000000,173951.676911,83628.000000,173951.676911,83628.000000,173951.676911,83628.000000
8192,287586.617672,109283.000000,287586.617672,109283.000000,287586.617672,109283.000000,287586.617672,109283.000000,287586.617672,109283.000000,287586.617672,109283.000000
2,287910.826729,120886.000000,287910.826729,120886.000000,287910.826729,120886.000000,287910.826729,120886.000000,287910.826729,120886.000000,287910.826729,120886.000000
16,249862.138052,88545.000000,249862.138052,88545.000000,249862.138052,88545.000000,249862.138052,88545.000000,249862.138052,88545.000000,249862.138052,88545.000000
256,453450.422128,257678.000000,453450.422128,257678.000000,453450.422128,257678.000000,453450.422128,257678.000000,453450.422128,257678.000000,453450.422128,257678.000000
1024,271635.596543,163542.000000,271635.596543,163542.000000,271635.596543,163542.000000,271635.596543,163542.000000,271635.596543,163542.000000,271635.596543,163542.000000
2048,480189.137056,230635.000000,480189.137056,230635.000000,480189.137056,230635.000000,480189.137056,230635.000000,480189.137056,230635.000000,480189.137056,230635.000000
32768,629599.161239,216093.000000,629599.161239,216093.000000,629599.161239,216093.000000,629599.161239,216093.000000,629599.161239,216093.000000,629599.161239,216093.000000
128,320125.741970,222047.000000,320125.741970,222047.000000,320125.741970,222047.000000,320125.741970,222047.000000,320125.741970,222047.000000,320125.741970,222047.000000
65536,1044198.247061,214331.000000,1044198.247061,214331.000000,1044198.247061,214331.000000,1044198.247061,214331.000000,1044198.247061,214331.000000,1044198.247061,214331.000000
32,524662.908013,263934.000000,524662.908013,263934.000000,524662.908013,263934.000000,524662.908013,263934.000000,524662.908013,263934.000000,524662.908013,263934.000000
16384,548847.971010,368489.000000,548847.971010,368489.000000,548847.971010,368489.000000,548847.971010,368489.000000,548847.971010,368489.000000,548847.971010,368489.000000
8,434443.857548,343255.000000,434443.857548,343255.000000,434443.857548,343255.000000,434443.857548,343255.000000,434443.857548,343255.000000,434443.857548,343255.000000
