frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
32,96805.243995,88945.740831,88945.740831,88945.740831,88945.740831,88945.740831
512,120789.697094,120789.697094,120789.697094,120789.697094,120789.697094,120789.697094
64,88789.221863,88789.221863,88789.221863,88789.221863,88789.221863,87569.923216
8,84637.527002,84637.527002,84637.527002,84637.527002,84637.527002,84637.527002
1024,166557.676377,158379.813629,158379.813629,158379.813629,158379.813629,158379.813629
4,111449.453027,111449.453027,111449.453027,111449.453027,111449.453027,111449.453027
16384,305663.641893,305663.641893,305663.641893,305663.641893,305663.641893,305663.641893
65536,239796.966226,239796.966226,239796.966226,239796.966226,239796.966226,239796.966226
128,235316.009876,235316.009876,235316.009876,235316.009876,235316.009876,235316.009876
2048,183610.029484,183610.029484,183610.029484,183610.029484,183610.029484,183610.029484
16,345354.294275,345354.294275,345354.294275,345354.294275,345354.294275,345354.294275
2,259881.047095,259881.047095,259881.047095,259881.047095,259881.047095,259881.047095
32768,438721.978897,438721.978897,438721.978897,438721.978897,438721.978897,438721.978897
4096,354897.119950,354897.119950,354897.119950,354897.119950,354897.119950,354897.119950
256,766347.949818,398511.302756,398511.302756,398511.302756,754957.768747,398511.302756
8192,748827.723714,748827.723714,748827.723714,748827.723714,748827.723714,748827.723714
