frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,63710.299207,63710.299207,63710.299207,63710.299207,63710.299207,63710.299207
4096,147981.694581,147981.694581,147981.694581,147981.694581,147981.694581,147981.694581
32,126233.364757,126233.364757,126233.364757,126233.364757,126233.364757,126233.364757
4,113669.136167,113669.136167,113669.136167,113669.136167,113669.136167,113669.136167
512,133574.334017,133574.334017,133574.334017,133574.334017,133574.334017,133574.334017
128,139623.424116,139623.424116,139623.424116,139623.424116,139623.424116,139623.424116
16,174352.756164,174352.756164,174352.756164,174352.756164,174352.756164,174352.756164
8192,302699.473475,302699.473475,302699.473475,302699.473475,302699.473475,302699.473475
64,194714.573199,194689.072536,194689.072536,194689.072536,194689.072536,194689.072536
16384,272925.967799,272925.967799,272925.967799,272925.967799,272925.967799,272925.967799
32768,316215.798505,309510.946816,309510.946816,309510.946816,309510.946816,309510.946816
1024,374647.722573,374647.722573,374647.722573,374647.722573,374647.722573,374647.722573
8,283243.659615,283243.659615,283243.659615,283243.659615,283243.659615,283243.659615
256,373871.082236,327687.841015,327687.841015,327687.841015,373871.082236,327687.841015
65536,1035246.086611,1035246.086611,1035246.086611,1035246.086611,1035246.086611,1035246.086611
2048,797821.533633,513201.276482,513201.276482,513201.276482,513201.276482,513201.276482
