frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
64,75367.120378,75367.120378,75367.120378,75367.120378,75367.120378,75367.120378
8,95203.551856,88185.566296,88185.566296,88185.566296,88185.566296,88185.566296
256,134641.855572,134641.855572,134641.855572,134641.855572,134641.855572,134641.855572
8192,119927.831224,119927.831224,119927.831224,119927.831224,119927.831224,119927.831224
4,174783.008050,164447.155567,164447.155567,164447.155567,164447.155567,164447.155567
4096,190900.138342,190900.138342,190900.138342,190900.138342,190900.138342,190900.138342
32768,239125.700265,239125.700265,239125.700265,239125.700265,239125.700265,239106.631832
32,322872.053181,322872.053181,322872.053181,322872.053181,322872.053181,322872.053181
128,296627.816733,296627.816733,296627.816733,296627.816733,296627.816733,296627.816733
2048,378590.454491,378011.393119,378590.454491,378590.454491,378590.454491,378011.393119
2,275271.001942,275271.001942,275271.001942,275271.001942,275271.001942,275271.001942
65536,482156.906573,467193.201570,467193.201570,467193.201570,467193.201570,467193.201570
16384,442574.245523,464851.853338,464851.853338,464851.853338,464851.853338,464851.853338
512,389807.728942,389807.728942,389807.728942,389807.728942,389807.728942,389807.728942
16,449885.311933,449885.311933,449885.311933,449885.311933,449885.311933,449885.311933
1024,493558.823597,493558.823597,493558.823597,493558.823597,493558.823597,493558.823597
