frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,78288545.240414,2258606.000000
4,78685074.332783,2428944.000000
8,79154422.656683,2387687.000000
16,79928239.365060,2175773.000000
32,82464826.281092,2139969.000000
64,81186896.562145,2175863.000000
128,79260247.068977,2179099.000000
256,79871667.381848,2228974.000000
512,80153806.766379,2207005.000000
1024,82193721.560031,2222085.000000
2048,75887839.974469,2140890.000000
4096,78873456.499191,2329306.000000
8192,78811722.531435,2067576.000000
16384,83888027.315840,2241746.000000
32768,82669617.244506,2312866.000000
65536,66001211.056262,1905719.000000
