frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,79003676.182109,2291426.000000
4,77977826.284769,2120879.000000
8,78274963.535645,2147703.000000
16,79489606.626364,2164984.000000
32,80700658.768123,2188435.000000
64,80751797.726003,2142047.000000
128,82860881.773610,2282054.000000
256,80003649.749076,2161395.000000
512,81938447.314238,2244505.000000
1024,80402698.547581,2243709.000000
2048,86132566.799297,2405876.000000
4096,73860133.791405,2154379.000000
8192,83676488.049136,2158213.000000
16384,83449068.156088,2268045.000000
32768,61398403.206389,2161868.000000
65536,103114849.673571,2434576.000000
