frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,78407015.023221,2324438.000000
4,79301649.714968,2270028.000000
8,80559337.357739,2231220.000000
16,79780744.000103,2249476.000000
32,81581379.543714,2249787.000000
64,80525340.782240,2228497.000000
128,81702998.898605,2133154.000000
256,84166321.330614,2263284.000000
512,83951069.570597,2229331.000000
1024,78227872.031888,2150471.000000
2048,83264558.766182,2211733.000000
4096,82552552.045080,2234641.000000
8192,82998847.169337,2193244.000000
16384,93017873.216594,2100972.000000
32768,69796596.627875,2112996.000000
65536,123811521.342041,2238297.000000
