frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,78294543.468541,2173748.000000
4,77929526.142966,2203897.000000
8,78787648.526311,2093936.000000
16,80521392.686531,2190348.000000
32,80979562.330100,2193343.000000
64,82389209.045262,2160124.000000
128,82194786.471183,2197008.000000
256,80494365.884290,2116769.000000
512,77663892.215320,2232837.000000
1024,83141500.564354,2190944.000000
2048,75959042.749342,2184295.000000
4096,77501638.482364,2024524.000000
8192,85862537.443317,2199226.000000
16384,58178481.539580,1979370.000000
32768,104030782.837140,2323728.000000
65536,94189572.532501,2069843.000000
