frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,79432097.796890,2258785.000000
4,79083589.774408,2277342.000000
8,79376029.839389,2312862.000000
16,78836621.316263,2096151.000000
32,79804663.616516,2296324.000000
64,82214376.540914,2158464.000000
128,81651929.803205,2104553.000000
256,81137214.462815,2205351.000000
512,83980146.655404,2232214.000000
1024,83425721.054516,2219021.000000
2048,81417346.721910,2156841.000000
4096,82833712.769668,2310737.000000
8192,81023429.097653,2142886.000000
16384,71413782.394814,2074342.000000
32768,87910379.442240,2160280.000000
65536,101853849.471643,2201638.000000
