frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,79228148.513340,2148272.000000
4,80279625.070560,2142636.000000
8,81517113.436256,2176624.000000
16,79514072.391833,2191358.000000
32,77940118.902843,2206549.000000
64,80865175.070477,2245397.000000
128,80273987.027960,2181253.000000
256,81129260.297267,2253333.000000
512,77637328.944764,2141024.000000
1024,80471683.460059,2164529.000000
2048,78076261.871877,2072406.000000
4096,82508713.588113,2098558.000000
8192,68307074.916255,1995550.000000
16384,87944173.997567,2104761.000000
32768,75605759.678594,2154741.000000
65536,95210655.442012,2268589.000000
