frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,77422251.712702,2189859.000000
4,79149490.785599,2117025.000000
8,79857204.211329,2164234.000000
16,80958633.565900,2179306.000000
32,82452669.997368,2401284.000000
64,79289660.230709,2172390.000000
128,81285427.285534,2211700.000000
256,81481988.080675,2184595.000000
512,77836276.428784,2212362.000000
1024,81605575.703253,2182740.000000
2048,87920738.725135,2250698.000000
4096,74902048.956300,2189295.000000
8192,64614461.929283,2154856.000000
16384,88138654.618564,2121670.000000
32768,84438746.833717,2502149.000000
65536,131116938.758618,2190379.000000
