frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,79508932.084379,2266988.000000
4,78353562.800045,2293418.000000
8,79676301.086968,2205089.000000
16,81020769.155563,2261483.000000
32,77585351.069929,2151881.000000
64,80630957.867238,2241553.000000
128,79615359.418826,2146155.000000
256,82618782.731121,2190606.000000
512,79677545.951729,2237617.000000
1024,77777451.698980,2209789.000000
2048,78713078.701549,2080601.000000
4096,83057124.498139,2201194.000000
8192,61695946.070238,2243607.000000
16384,83271602.265272,2265363.000000
32768,99599896.477877,2619714.000000
65536,48778245.426888,2197829.000000
