frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
2,77632407.345672,2295059.000000
4,79343821.138484,2191782.000000
8,80060518.665814,2171098.000000
16,78381441.773412,2155521.000000
32,79938977.175309,2197176.000000
64,80044882.727660,2228970.000000
128,80243622.276519,2138247.000000
256,80688291.870603,2258176.000000
512,85452301.850598,2231518.000000
1024,78152667.723552,2180233.000000
2048,75082485.425150,2094012.000000
4096,78012726.512514,2212673.000000
8192,81537105.325191,2393763.000000
16384,94322913.809006,2330784.000000
32768,103345717.860637,2132077.000000
65536,51692851.606829,1454780.000000
