Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
38,4.073000,262144.000000,50744.530129,42924.000000
38,4.639000,32768.000000,89814.516421,65076.000000
38,5.649000,4096.000000,104426.099123,37782.000000
38,7.918000,512.000000,43191.594078,9493.000000
38,16.772000,64.000000,32877.385009,5481.000000
38,30.000000,6.000000,40218.591074,2705.000000
38,30.000000,9.000000,32096.266496,1904.000000
38,30.000000,12.000000,32215.447692,2128.000000
38,30.000000,15.000000,28678.061144,2987.000000
38,30.000000,18.000000,35845.339446,4194.000000
