Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
20,4.073000,262144.000000,959283.462919,225445.000000
20,4.639000,32768.000000,1805687.535053,271015.000000
20,5.649000,4096.000000,2620369.406242,269382.000000
20,7.918000,512.000000,5861339.166244,290456.000000
20,16.772000,64.000000,12645368.344677,304055.000000
20,30.000000,6.000000,15150683.396153,277913.000000
20,30.000000,9.000000,14715909.688591,304548.000000
20,30.000000,12.000000,13587814.099693,296744.000000
20,30.000000,15.000000,12966013.222945,302309.000000
20,30.000000,18.000000,12667127.868813,304249.000000
