Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,100557.048351,70616.000000
30,4.639000,32768.000000,91575.774504,50483.000000
30,5.649000,4096.000000,422069.249261,164576.000000
30,7.918000,512.000000,782171.007187,147910.000000
30,16.772000,64.000000,2137492.304577,286328.000000
30,30.000000,6.000000,4593880.206213,113398.000000
30,30.000000,9.000000,3191478.676158,62332.000000
30,30.000000,12.000000,1693167.185078,247603.000000
30,30.000000,15.000000,3231745.582457,309318.000000
30,30.000000,18.000000,3412983.779605,282201.000000
