Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
26,4.073000,262144.000000,724735.215048,360334.000000
26,4.639000,32768.000000,781591.103366,279274.000000
26,5.649000,4096.000000,1486090.678972,302722.000000
26,7.918000,512.000000,3105151.164953,282127.000000
26,16.772000,64.000000,8736589.708914,297029.000000
26,30.000000,6.000000,12231298.913734,278269.000000
26,30.000000,9.000000,11990893.349308,266482.000000
26,30.000000,12.000000,10237852.908196,290982.000000
26,30.000000,15.000000,8279797.197993,304009.000000
26,30.000000,18.000000,8232368.887514,306937.000000
