Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
22,4.073000,262144.000000,438030.044731,216497.000000
22,4.639000,32768.000000,1303930.068630,288873.000000
22,5.649000,4096.000000,2437147.443334,289218.000000
22,7.918000,512.000000,4904728.401377,289585.000000
22,16.772000,64.000000,11652677.268365,300881.000000
22,30.000000,6.000000,14395696.304380,305695.000000
22,30.000000,9.000000,13496287.133990,304282.000000
22,30.000000,12.000000,12841550.879724,302097.000000
22,30.000000,15.000000,12313790.955865,302849.000000
22,30.000000,18.000000,11661204.043777,302892.000000
