Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
36,4.073000,262144.000000,98885.186939,43329.000000
36,4.639000,32768.000000,201102.007698,133913.000000
36,5.649000,4096.000000,122481.726351,55929.000000
36,7.918000,512.000000,42328.726877,9341.000000
36,16.772000,64.000000,39568.265049,4332.000000
36,30.000000,6.000000,52510.777418,3459.000000
36,30.000000,9.000000,51128.335666,2735.000000
36,30.000000,12.000000,45479.940171,6183.000000
36,30.000000,15.000000,59163.012542,4861.000000
36,30.000000,18.000000,67751.051667,9569.000000
