Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
22,4.073000,262144.000000,513767.890200,215543.000000
22,4.639000,32768.000000,989672.785357,234007.000000
22,5.649000,4096.000000,2448199.532448,284244.000000
22,7.918000,512.000000,4985621.596924,292728.000000
22,16.772000,64.000000,11550788.982077,305426.000000
22,30.000000,6.000000,14017500.653147,304312.000000
22,30.000000,9.000000,13644716.605742,305677.000000
22,30.000000,12.000000,12656820.630038,304993.000000
22,30.000000,15.000000,12252799.021836,302945.000000
22,30.000000,18.000000,11941328.176378,303451.000000
