Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
20,4.073000,262144.000000,972558.701115,218722.000000
20,4.639000,32768.000000,1923537.721199,290200.000000
20,5.649000,4096.000000,3175984.349364,296912.000000
20,7.918000,512.000000,5415305.974013,285568.000000
20,16.772000,64.000000,12730741.837836,303660.000000
20,30.000000,6.000000,15224965.830643,304654.000000
20,30.000000,9.000000,14362447.044016,304647.000000
20,30.000000,12.000000,13428765.927028,302536.000000
20,30.000000,15.000000,13353043.420309,306515.000000
20,30.000000,18.000000,13045766.557026,308871.000000
