Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
38,4.073000,262144.000000,40787.244464,19503.000000
38,4.639000,32768.000000,77756.738679,45557.000000
38,5.649000,4096.000000,45438.393744,14619.000000
38,7.918000,512.000000,38259.309194,6291.000000
38,16.772000,64.000000,30778.956090,4336.000000
38,30.000000,6.000000,44917.621164,3015.000000
38,30.000000,9.000000,34643.578943,2175.000000
38,30.000000,12.000000,29688.081464,2348.000000
38,30.000000,15.000000,32237.789409,4798.000000
38,30.000000,18.000000,29955.587092,4401.000000
