Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
40,4.073000,262144.000000,161829.140361,138868.000000
40,4.639000,32768.000000,55480.618201,25755.000000
40,5.649000,4096.000000,76590.004909,30537.000000
40,7.918000,512.000000,28193.368653,7771.000000
40,16.772000,64.000000,23987.184599,2389.000000
40,30.000000,6.000000,33539.340557,2756.000000
40,30.000000,9.000000,27385.238670,1997.000000
40,30.000000,12.000000,26853.931556,1977.000000
40,30.000000,15.000000,24680.802317,4245.000000
40,30.000000,18.000000,29845.947062,3555.000000
