Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
24,4.073000,262144.000000,760804.781307,262408.000000
24,4.639000,32768.000000,790127.990829,215287.000000
24,5.649000,4096.000000,1707189.839048,265484.000000
24,7.918000,512.000000,3731275.770646,289595.000000
24,16.772000,64.000000,10787322.028250,298229.000000
24,30.000000,6.000000,13244238.231814,304714.000000
24,30.000000,9.000000,12699918.611751,304770.000000
24,30.000000,12.000000,11545824.702169,294117.000000
24,30.000000,15.000000,11749614.693969,307142.000000
24,30.000000,18.000000,10999041.484032,309250.000000
