Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
38,4.073000,262144.000000,67334.151016,51130.000000
38,4.639000,32768.000000,77910.889130,34600.000000
38,5.649000,4096.000000,74129.292361,34611.000000
38,7.918000,512.000000,48309.275031,12329.000000
38,16.772000,64.000000,33158.737974,4630.000000
38,30.000000,6.000000,34596.148890,2441.000000
38,30.000000,9.000000,35551.635996,2133.000000
38,30.000000,12.000000,44054.249057,5374.000000
38,30.000000,15.000000,36788.141160,4811.000000
38,30.000000,18.000000,40782.676052,7831.000000
