Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,61660.599097,47325.000000
30,4.639000,32768.000000,452522.685131,290172.000000
30,5.649000,4096.000000,1049221.647296,314721.000000
30,7.918000,512.000000,909055.785351,145964.000000
30,16.772000,64.000000,2668699.367031,299811.000000
30,30.000000,6.000000,3368471.858534,79260.000000
30,30.000000,9.000000,1695344.916572,177701.000000
30,30.000000,12.000000,3108465.808536,298071.000000
30,30.000000,15.000000,2937772.487414,303262.000000
30,30.000000,18.000000,3724412.511147,293252.000000
