Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
30,4.073000,262144.000000,720117.168262,347632.000000
30,4.639000,32768.000000,336975.071450,292801.000000
30,5.649000,4096.000000,593564.555177,225434.000000
30,7.918000,512.000000,580188.786088,107347.000000
30,16.772000,64.000000,2234842.067703,299275.000000
30,30.000000,6.000000,1696862.052625,62711.000000
30,30.000000,9.000000,3372249.776550,88018.000000
30,30.000000,12.000000,1874448.184483,227862.000000
30,30.000000,15.000000,2272046.835834,266567.000000
30,30.000000,18.000000,2171235.098958,198746.000000
